[2025-07-29 15:09:59,159: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:10:19,145: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:10:19,150: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:10:19,157: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:10:19,160: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:10:19,162: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:10:19,166: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:10:19,167: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:10:19,200: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:10:19,212: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:10:19,221: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:10:19,225: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:10:19,242: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:10:19,245: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:10:19,250: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:10:39,223: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:10:39,226: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:10:39,229: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:10:39,233: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:10:39,236: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:10:39,239: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:10:39,241: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:10:39,289: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:10:39,294: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:10:39,302: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:10:39,308: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:10:39,313: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:10:39,321: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:10:39,324: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:10:59,312: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:10:59,317: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:10:59,321: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:10:59,326: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:10:59,332: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:10:59,336: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:10:59,343: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:10:59,375: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:10:59,380: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:10:59,385: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:10:59,392: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:10:59,397: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:10:59,403: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:10:59,406: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:11:19,402: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:11:19,405: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:11:19,407: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:11:19,409: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:11:19,412: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:11:19,414: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:11:19,416: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:11:19,463: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:11:19,465: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:11:19,466: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:11:19,467: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:11:19,468: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:11:19,470: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:11:19,471: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:11:39,492: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:11:39,501: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:11:39,507: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
